Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2017,"Cabrera, Fernando",01/28/2021,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$110
2017,"Cabrera, Fernando",01/28/2021,Failing to report/ late reporting of transactions in daily pre-election disclosure statements,Failing to report/ late reporting of transactions in daily pre-election disclosure statements,$300
2017,"Cabrera, Fernando",01/28/2021,Failing to document a transaction,Failing to document a transaction,$50
2017,"Cabrera, Fernando",01/28/2021,Accepting an over-the-limit contribution,Accepting an over-the-limit contribution,$125
2017,"Cabrera, Fernando",01/28/2021,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$687
2017,"Cabrera, Fernando",01/28/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$319
2017,"Cabrera, Fernando",01/28/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,Violation; No Penalty
2017,"Cabrera, Fernando",01/28/2021,Failing to respond to the Initial Documentation Request and filing a late response to the Draft Audit Report,Failing to respond to the Initial Documentation Request and filing a late response to the Draft Audit Report,"$1,616"
2017,"Cabrera, Fernando",01/28/2021,Overpayment of public funds,Overpayment of public funds,"$1,725"
2017,"Eugene, Mathieu",01/15/2021,Failing to report transactions,Failing to report transactions,"$3,327"
2017,"Eugene, Mathieu",01/15/2021,Failing to demonstrate compliance with cash receipts reporting requirements,Failing to demonstrate compliance with cash receipts reporting requirements,$229
2017,"Eugene, Mathieu",01/15/2021,Failing to report a transaction in a daily pre-election disclosure statement,Failing to report a transaction in a daily pre-election disclosure statement,$250
2017,"Eugene, Mathieu",01/15/2021,Failing to document transactions,Failing to document transactions,$468
2017,"Eugene, Mathieu",01/15/2021,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$312
2017,"Eugene, Mathieu",01/15/2021,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$1,912"
2017,"Eugene, Mathieu",01/15/2021,Accepting a contribution from an unregistered political committee,Accepting a contribution from an unregistered political committee,$125
2017,"Eugene, Mathieu",01/15/2021,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,385"
2017,"Eugene, Mathieu",01/15/2021,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$2,709"
2017,"Eugene, Mathieu",01/15/2021,Qualified Expenditure Deficit,Qualified Expenditure Deficit,$0
2017,"Dietl, Richard",12/15/2020,Failing to provide bank and merchant account statements,Failing to provide bank and merchant account statements,
2017,"Dietl, Richard",12/15/2020,Failing to report transactions,Failing to report transactions,"$1,000 Candidate liability"
2017,"Dietl, Richard",12/15/2020,Failing to document transactions,Failing to document transactions,"$1,000 Candidate liability"
2017,"Dietl, Richard",12/15/2020,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,
2017,"Dietl, Richard",12/15/2020,Filing a late disclosure statement,Filing a late disclosure statement,$500 Candidate liability
2017,"Dietl, Richard",12/15/2020,Accepting over-the-limit contributions,Accepting over-the-limit contributions,
2017,"Dietl, Richard",12/15/2020,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",
2017,"Moore, William",12/15/2020,Failing to provide bank statements,Failing to provide bank statements,Violation; No Penalty
2017,"Moore, William",12/15/2020,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,Violation; No Penalty
2017,"Moore, William",12/15/2020,Failing to file disclosure statements,Failing to file disclosure statements,Violation; No Penalty
2017,"Moore, William",12/15/2020,Failing to respond to the DAR,Failing to respond to the DAR,Violation; No Penalty
2017,"Carew, Christopher",11/19/2020,Failing to provide bank statements,Failing to provide bank statements,$200
2017,"Carew, Christopher",11/19/2020,Filing a late disclosure statement,Filing a late disclosure statement,Violation; No Penalty
2017,"Carew, Christopher",11/19/2020,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts,$250
2017,"Carew, Christopher",11/19/2020,Failing to respond to the Draft Audit Report,Failing to respond to the Draft Audit Report,$500
2017,"Malliotakis, Nicole",11/19/2020,Failing to provide bank statements,Failing to provide bank statements,"$1,000"
2017,"Malliotakis, Nicole",11/19/2020,Failing to report transactions,Failing to report transactions,"$11,496"
2017,"Malliotakis, Nicole",11/19/2020,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$657
2017,"Malliotakis, Nicole",11/19/2020,Failing to report and late reporting of transactions in daily pre-election disclosure statements,Failing to report and late reporting of transactions in daily pre-election disclosure statements,$450
2017,"Malliotakis, Nicole",11/19/2020,Failing to document transactions,Failing to document transactions,$305
2017,"Malliotakis, Nicole",11/19/2020,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships","$6,064"
2017,"Malliotakis, Nicole",11/19/2020,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$500
2017,"Malliotakis, Nicole",11/19/2020,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$800
2017,"Malliotakis, Nicole",11/19/2020,Making cash expenditures greater than $100,Making cash expenditures greater than $100,$112
2017,"Malliotakis, Nicole",11/19/2020,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$3,260"
2017,"Malliotakis, Nicole",11/19/2020,Making impermissible post-election expenditures,Making impermissible post-election expenditures,"$2,075"
2017,"Malliotakis, Nicole",11/19/2020,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"$15,118"
2017,"Valdes, Delvis",11/19/2020,Failing to document transactions,Failing to document transactions,$201
2017,"Valdes, Delvis",11/19/2020,Accepting a contribution from a corporation,Accepting a contribution from a corporation,$250
2017,"Valdes, Delvis",11/19/2020,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$274
2017,"Sheikh, Helal",09/17/2020,Failing to report a transaction in a daily pre-election disclosure statement,Failing to report a transaction in a daily pre-election disclosure statement,$250
2017,"Sheikh, Helal",09/17/2020,Failing to document transactions,Failing to document transactions,$50
2017,"Sheikh, Helal",09/17/2020,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$185
2017,"Sheikh, Helal",09/17/2020,Making impermissible post-election expednitures,Making impermissible post-election expednitures,$586
2017,"Sheikh, Helal",09/17/2020,Filing a late response to the Draft Audit Report,Filing a late response to the Draft Audit Report,$500
2017,"Doyle, John",08/20/2020,Failing to report transactions,Failing to report transactions,$136
2017,"Doyle, John",08/20/2020,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$320
2017,"Doyle, John",08/20/2020,Filing late disclosure statements,Filing late disclosure statements,$200
2017,"Doyle, John",08/20/2020,Accepting an over-the-limit contribution,Accepting an over-the-limit contribution,$250
2017,"Doyle, John",08/20/2020,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$375
2017,"Doyle, John",08/20/2020,Making a cash expenditure greater than $100,Making a cash expenditure greater than $100,VNP
2017,"Doyle, John",08/20/2020,Making impermissible post-election expenditures,Making impermissible post-election expenditures,VNP
2017,"Menchaca, Carlos",08/20/2020,Failing to report transactions,Failing to report transactions,"$1,678"
